Id,realm,name,race,level,class,zone,role,presence
1,Burning Legion,Abaddonekk,Tauren,120,Paladin,N/A,Member,Offline
2,Tarren  Mill,Adhàn,Zandalari Troll,120,Shaman,N/A,Member,Offline
3,Draenor,Agrethiel,Troll,120,Mage,N/A,Member,Offline
4,Draenor,Ahld,Zandalari Troll,120,Paladin,N/A,Member,Offline
5,Draenor,Alibabaw,Troll,120,Druid,N/A,Member,Offline
