Id,ActivityID,ActivityName,MemberName,Points,Timestamp 
4,62,BoD HC Raid 9,Vajhishar-TarrenMill,10,4/4/2019 23:44
4,62,BoD HC Raid 9,Thiirry-Draenor,10,4/4/2019 23:44
4,62,BoD HC Raid 9,Wahshie-TarrenMill,10,4/4/2019 23:44
4,62,BoD HC Raid 9,Arimin-Executus,10,4/4/2019 23:44
4,62,BoD HC Raid 9,Ahld-Draenor,10,4/4/2019 23:44
4,62,BoD HC Raid 9,Trollbat-Dentarg,10,4/4/2019 23:44
4,62,BoD HC Raid 9,Wahshi-TarrenMill,10,4/4/2019 23:44
4,62,BoD HC Raid 9,Crusádèr-DefiasBrotherhood,10,4/4/2019 23:44
4,62,BoD HC Raid 9,Wargodstompy-TarrenMill,10,4/4/2019 23:44
4,62,BoD HC Raid 9,Sinrog-TarrenMill,10,4/4/2019 23:44
4,62,BoD HC Raid 9,Dreadblossom-Draenor,10,4/4/2019 23:44
4,62,BoD HC Raid 9,Laniria-Stormreaver,10,4/4/2019 23:44
4,62,BoD HC Raid 9,Flóki-Bloodscalp,10,4/4/2019 23:44
4,62,BoD HC Raid 9,Sknuff-Bloodscalp,10,4/4/2019 23:44
4,62,BoD HC Raid 9,Mecham-Draenor,10,4/4/2019 23:44
4,62,BoD HC Raid 9,Boohy-Dragonmaw,10,4/4/2019 23:44
4,62,BoD HC Raid 9,Notahuman-TarrenMill,10,4/4/2019 23:44
