ID,ActivityName,MemberName,Points,Timestamp 
115876,Crucible HC 1,Ahld-Draenor,10,18/04/19 21:17:09
115876,Crucible HC 1,Arimin-Executus,10,18/04/19 21:17:10
115876,Crucible HC 1,Donpietro-BurningLegion,10,18/04/19 21:17:11
115876,Crucible HC 1,Dreadblossom-Draenor,10,18/04/19 21:17:12
115876,Crucible HC 1,Eiloren-Khadgar,5,18/04/19 21:17:13
115876,Crucible HC 1,Elldorado-Eonar,5,18/04/19 21:17:14
115876,Crucible HC 1,Fistfox-TarrenMill,10,18/04/19 21:17:15
115876,Crucible HC 1,Greyloy-TarrenMill,10,18/04/19 21:17:16
115876,Crucible HC 1,Laniria-Stormreaver,10,18/04/19 21:17:18
115876,Crucible HC 1,Lhyao-TarrenMill,10,18/04/19 21:17:19
115876,Crucible HC 1,Mecham-Draenor,10,18/04/19 21:17:20
115876,Crucible HC 1,Sanzo-Aggramar,10,18/04/19 21:17:22
115876,Crucible HC 1,Severinå-Kazzak,10,18/04/19 21:17:23
115876,Crucible HC 1,Thyrfing-Twilight'sHammer,10,18/04/19 21:17:24
115876,Crucible HC 1,Tísy-TarrenMill,10,18/04/19 21:17:25
115876,Crucible HC 1,Vajhishar-TarrenMill,10,18/04/19 21:17:26
115876,Crucible HC 1,Wahshi-TarrenMill,10,18/04/19 21:17:27
