Id,ActivityID,ActivityName,MemberName,Points,Timestamp 
6,61,BoD HC Raid 8,Guff-TarrenMill,10,30/03/19 21:00:06
6,61,BoD HC Raid 8,Cerli-Draenor,10,30/03/19 21:00:06
6,61,BoD HC Raid 8,Eris-KulTiras,10,30/03/19 21:00:06
6,61,BoD HC Raid 8,Michael-Executus,10,30/03/19 21:00:06
6,61,BoD HC Raid 8,Winsly-Bloodscalp,10,30/03/19 21:00:06
6,61,BoD HC Raid 8,Fanamvp-Kazzak,10,30/03/19 21:00:06
6,61,BoD HC Raid 8,Wahshi-TarrenMill,10,30/03/19 21:00:06
6,61,BoD HC Raid 8,Wargodstompy-TarrenMill,10,30/03/19 21:00:06
6,61,BoD HC Raid 8,Kîrsty-Draenor,10,30/03/19 21:00:06
6,61,BoD HC Raid 8,Shir-AzjolNerub,10,30/03/19 21:00:06
6,61,BoD HC Raid 8,Lucani-KulTiras,10,30/03/19 21:00:06
6,61,BoD HC Raid 8,Telcharios-AzjolNerub,10,30/03/19 21:00:06
6,61,BoD HC Raid 8,Jerrysmith-KulTiras,10,30/03/19 21:00:06
6,61,BoD HC Raid 8,Swestenqt-Kazzak,10,30/03/19 21:00:06
6,61,BoD HC Raid 8,Crusádèr-DefiasBrotherhood,10,30/03/19 21:00:06
6,61,BoD HC Raid 8,Donpietro-BurningLegion,10,30/03/19 21:00:06
